Company,City,State,lat,lon
Walmart, Bentonville, Arizona,36.3729,-94.2088
ExxonMobil, Irving, Texas,36.3729,-94.2088
Apple, Cupertino, California,37.3230,-122.0322
Berkshire Hathaway, Omaha, Nebraska, 41.2565,-95.9345
Amazon, Seattle, Washington,47.36,-122.20
UnitedHealth Group, Minnetonka, Minneapolis,44.55,-93.28
McKesson, Irving, Texas,32.49,-96.5084
CVS Health, Woonsocket, Rhode Island,42.0029,-71.5148
AT&T, Dallas, Texas,32.53,-97.5948
AmerisourceBergen, Chesterbrook, Pennsylvania,40.0757,-75.4591
Chevron, San Ramon, California,37.7644,-121.9540
Ford Motor, Dearborn, Michigan,42.3223,-83.1763
General Motors, Detroit, Michigan,42.19,-83.7108
Costco Wholesale, Issaquah, Washington,47.5301,-122.0326
Google, Mountain View, California,37.3861,-122.0839
Cardinal Health, Dublin, Ohio,40.0992,-83.1141
Walgreens Boots, Deerfield, Illinois,42.1711,-87.8445,
JP Morgan Chase, New York, New York,40.71455,-74.007124
Verizon, New York, New York,40.71455,-74.007124
Kroger, Cincinnati, Ohio,40.0757,-75.4591
GE, Boston, Massachusetts,42.3223,-83.1763
Fannie Mae, Washington, D.C.,38.8903694,-77.0319595
Phillips, Cambridge, Massachusetts,42.3736,-71.1097
Valero Energy, San Antonio, Texas,29.4241,-98.4936
Bank of America, Charlotte, North Carolina,35.1761,-80.8544
Microsoft, Redmond, Washington,47.6740,-122.1215
Home Depot, Atlanta, Georgia,33.7490,-84.3880
Boeing, Chicago, Illinois,41.8781,-87.6298
Wells Fargo, San Francisco, California,37.7771187,-122.4196396
CitiGroup, New York, New York,40.71455,-74.007124
Marathon Petroleum, Findlay, Ohio,37.7749,-122.4194
Comcast, Philadelphia, Pennsylvania,39.9526,-75.1652
Anthem, Indianapolis, Indiana,39.9526,-75.1652
Dell, Round Rock, Texas,30.5083,-97.6789
DuPont, Midland, Michigan,43.6156,-84.2472
State Farm Insurance, Bloomington, Illinois,40.4842,-88.9937
Johnson & Johnson, New Brunswick, New Jersey,40.4862,-74.4518
IBM, Armonk, New York, 40.71455,-74.007124,41.1265,-73.7140
Target, Minneapolis, Manhattan,44.59,-93.15
Freddie Mac, Tysons Corner, Virginia,38.9187,-77.2311
United Parcel Service, Atlanta, Georgia,33.7490,-84.3880
Loweâ€™s, Mooresville, North Carolina,35.5859,-80.8081
Intel, Santa Clara, California,37.3541,-121.9552
Metlife, New York, New York,40.71455,-74.007124
Procter & Gamble, Cincinnati, Ohio,39.1031,-84.5120
United Technologies, Farmington, Connecticut,41.7360,-72.7950
FedEx, Memphis, Tennessee,35.1495,-90.0490
PepsiCo, Purchase, New York, 40.71455,-74.007124,
Archer Daniels Midland, Chicago, Illinois,41.8781,-87.6298
Prudential Finance, Newark, New Jersey,40.7357,-74.1724
